Board,Algorithm,Avg_Time_s,Avg_Memory_KB,Avg_Nodes_Expanded,Avg_Solution_Length,Solution_Found,Num_Runs
map01,BFS,0.021100,8.80,61,18,Yes,10
map01,DFS,0.013078,0.00,22,21,Yes,10
map01,UCS,0.030926,3.20,68,18,Yes,10
map01,A*,0.034450,0.00,68,18,Yes,10
map02,BFS,0.091199,77.20,235,38,Yes,10
map02,DFS,0.038501,0.80,91,73,Yes,10
map02,UCS,0.095443,16.40,239,38,Yes,10
map02,A*,0.094795,3.20,239,38,Yes,10
map03,BFS,0.313016,186.80,641,56,Yes,10
map03,DFS,0.085268,0.00,172,137,Yes,10
map03,UCS,0.339010,8.00,646,56,Yes,10
map03,A*,0.316490,0.00,646,56,Yes,10
map04,BFS,0.550738,198.00,1101,57,Yes,10
map04,DFS,0.130798,10.80,273,215,Yes,10
map04,UCS,0.564543,63.20,1106,57,Yes,10
map04,A*,0.566819,14.00,1096,57,Yes,10
map05,BFS,1.118239,494.80,1943,64,Yes,10
map05,DFS,0.368619,19.20,640,450,Yes,10
map05,UCS,1.150554,97.60,1950,64,Yes,10
map05,A*,1.195770,82.80,1950,64,Yes,10
map06,BFS,1.805776,948.80,2939,81,Yes,10
map06,DFS,0.371433,67.60,673,470,Yes,10
map06,UCS,1.918725,216.00,3093,81,Yes,10
map06,A*,1.906919,76.40,3071,81,Yes,10
map07,BFS,0.942955,57.20,1623,85,Yes,10
map07,DFS,0.228032,39.20,433,336,Yes,10
map07,UCS,0.973815,139.20,1632,85,Yes,10
map07,A*,1.045379,91.60,1623,85,Yes,10
map08,BFS,0.684197,6.80,1238,24,Yes,10
map08,DFS,0.600739,104.80,1122,64,Yes,10
map08,UCS,0.689285,36.40,1255,24,Yes,10
map08,A*,0.678021,36.00,1240,24,Yes,10
map09,BFS,1.888028,811.60,3806,82,Yes,10
map09,DFS,0.946894,62.80,1854,719,Yes,10
map09,UCS,2.047134,337.20,3901,82,Yes,10
map09,A*,2.060660,102.40,3892,82,Yes,10
map10,BFS,2.103281,342.80,3794,76,Yes,10
map10,DFS,0.680928,78.80,1265,850,Yes,10
map10,UCS,2.012015,352.40,3947,76,Yes,10
map10,A*,2.019710,127.20,3851,76,Yes,10
map11,BFS,0.118769,4.80,365,70,Yes,10
map11,DFS,0.081428,0.00,256,106,Yes,10
map11,UCS,0.119689,14.00,379,70,Yes,10
map11,A*,0.119861,3.20,373,70,Yes,10
map12,BFS,0.289715,2.00,828,73,Yes,10
map12,DFS,0.130602,15.20,380,270,Yes,10
map12,UCS,0.306250,11.20,850,73,Yes,10
map12,A*,0.314294,4.80,849,73,Yes,10
